8-32 or 0.164-32 UNC CLASS 2,8-32,0.164-32,UNC,2A,0.0009,0.1631,0.1571,0,0.1428,0.1399,0.002916,0.1259,2B,0.13,0.139,0.1437,0.1475,0.0038,0.164
8-32 or 0.164-32 UNC CLASS 3,8-32,0.164-32,UNC,3A,0,0.164,0.158,0,0.1437,0.1415,0.0022,0.1268,3B,0.13,0.1388,0.1437,0.1465,0.0028,0.164
8-36 or 0.164-36 UNF CLASS 2,8-36,0.164-36,UNF,2A,0.0008,0.1632,0.1577,0,0.1452,0.1424,0.002804,0.1301,2B,0.134,0.142,0.146,0.1496,0.0036,0.164
8-36 or 0.164-36 UNF CLASS 3,8-36,0.164-36,UNF,3A,0,0.164,0.1585,0,0.146,0.1439,0.0021,0.1309,3B,0.134,0.1416,0.146,0.1487,0.0027,0.164
10-24 or 0.190-24 UNC CLASS 2,10-24,0.190-24,UNC,2A,0.001,0.189,0.1818,0,0.1619,0.1586,0.003319,0.1394,2B,0.145,0.155,0.1629,0.1672,0.0043,0.19
10-24 or 0.190-24 UNC CLASS 3,10-24,0.190-24,UNC,3A,0,0.19,0.1828,0,0.1629,0.1604,0.0025,0.1404,3B,0.145,0.1555,0.1629,0.1661,0.0032,0.19
10-32 or 0.190-32 UNF CLASS 2,10-32,0.190-32,UNF,2A,0.0009,0.1891,0.1831,0,0.1688,0.1658,0.003004,0.1519,2B,0.156,0.164,0.1697,0.1736,0.0039,0.19
10-32 or 0.190-32 UNF CLASS 3,10-32,0.190-32,UNF,3A,0,0.19,0.184,0,0.1697,0.1674,0.0023,0.1528,3B,0.156,0.1641,0.1697,0.1726,0.0029,0.19
12-24 or 0.216-24 UNC CLASS 2,12-24,0.216-24,UNC,2A,0.001,0.215,0.2078,0,0.1879,0.1845,0.0034,0.1654,2B,0.171,0.181,0.1889,0.1933,0.0044,0.216
12-24 or 0.216-24 UNC CLASS 3,12-24,0.216-24,UNC,3A,0,0.216,0.2088,0,0.1889,0.1863,0.0026,0.1664,3B,0.171,0.1807,0.1889,0.1922,0.0033,0.216
12-28 or 0.216-28 UNF CLASS 2,12-28,0.216-28,UNF,2A,0.001,0.215,0.2085,0,0.1918,0.1886,0.003224,0.1725,2B,0.177,0.186,0.1928,0.197,0.0042,0.216
12-28 or 0.216-28 UNF CLASS 3,12-28,0.216-28,UNF,3A,0,0.216,0.2095,0,0.1928,0.1904,0.0024,0.1735,3B,0.177,0.1857,0.1928,0.1959,0.0031,0.216
12-32 or 0.216-32 UNEF CLASS 2,12-32,0.216-32,UNEF,2A,0.001,0.215,0.209,0,0.1947,0.1915,0.003184,0.1778,2B,0.182,0.19,0.1957,0.1998,0.0041,0.216
12-32 or 0.216-32 UNEF CLASS 3,12-32,0.216-32,UNEF,3A,0,0.216,0.21,0,0.1957,0.1933,0.0024,0.1788,3B,0.182,0.1895,0.1957,0.1988,0.0031,0.216
